Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",127.686000,-85.776000,0.000000,top
"C2","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",135.520000,-93.396000,180.000000,top
"C3","1u","C_Rect_L9.0mm_W5.1mm_P7.50mm_MKT",149.276000,-88.256000,90.000000,top
"C4","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",141.656000,-86.244000,90.000000,top
"J1","Power","PinSocket_1x08_P2.54mm_Vertical",127.940000,-97.460000,90.000000,top
"J2","Digital/PWM","PinSocket_1x10_P2.54mm_Vertical",118.796000,-49.200000,90.000000,top
"J3","Analog","PinSocket_1x06_P2.54mm_Vertical",150.800000,-97.460000,90.000000,top
"J4","Digital/PWM","PinSocket_1x08_P2.54mm_Vertical",145.720000,-49.200000,90.000000,top
"R1","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",138.100000,-85.776000,-90.000000,top
"R2","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",135.306000,-81.966000,180.000000,top
"R3","100k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",127.686000,-89.840000,0.000000,top
"R4","100k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",154.356000,-88.316000,90.000000,top
"R5","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",149.276000,-91.364000,180.000000,top
"R6","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",149.276000,-77.140000,180.000000,top
"U1","Bluetooth","BLUETOOTH_HC05",135.306000,-53.518000,0.000000,top
"U2","OLED","OLED",121.336000,-58.598000,0.000000,top
"U3","LTC1050","LTC1050",161.468000,-84.506000,180.000000,top
"U4","Encodeur_rotatoire","KY_040",155.880000,-53.924000,0.000000,top
